feature,importance,std
temperature_mean_6,0.15158921992866053,0.01575533630754938
vibration_mean_6,0.05924670031927646,0.012446133257042821
temperature,0.028803566195074647,0.006065829001058126
vibration,0.013893967235589088,0.005957825824240215
rpm,0.003728788260743876,0.0006694039085116692
vibration_std_6,0.0033652526938007686,0.0015389405467737156
reject_rate,0.0031889455681406442,0.0013844723442435702
pressure,0.0014581896025625874,0.002144885325238265
load,0.0010913189667312694,0.0019842770548904594
