model,task,validation_precision,validation_recall,validation_f1,validation_roc_auc,test_precision,test_recall,test_f1,test_roc_auc
logistic,maintenance,0.8565737051792829,0.8704453441295547,0.8634538152610441,0.9667402983826573,0.8754325259515571,0.790625,0.8308702791461412,0.9474264705882354
random_forest,maintenance,0.8484848484848485,0.9068825910931174,0.8767123287671232,0.9682175782366017,0.8737864077669902,0.84375,0.8585055643879174,0.9442842371323528
ann,maintenance,0.837037037037037,0.9149797570850202,0.874274661508704,0.9652908917335042,0.8598726114649682,0.84375,0.8517350157728707,0.9486213235294118
cnn,vision,1.0,0.9875,0.9937106918238994,1.0,1.0,0.975,0.9873417721518988,0.99984375
